The Gallup Economic Confidence Index summarizes Americans' assessments of current economic conditions;% Excellent/Good;% Only fair;% Poor
10/11/2001;55;32;13
4/8/2002;52;35;13
3/3/2003;50;38;12
4/5/2004;51;36;13
4/4/2005;52;36;12
4/10/2006;51;37;12
4/2/2007;55;31;14
4/6/2008;45;37;17
4/6/2009;42;39;19
4/8/2010;41;40;19
4/7/2011;42;40;18
10/6/2011;44;34;22
4/9/2012;41;41;18
4/4/2013;45;40;14
4/3/2014;48;36;16
4/9/2015;46;35;17
4/6/2016;50;32;17
4/5/2017;52;35;12
4/2/2018;55;31;13
4/1/2019;56;29;15
4/1/2020;49;36;15
5/28/2020;53;33;14
4/1/2021;57;34;9
4/1/2022;46;38;16
4/3/2023;45;39;16
4/1/2024;46;36;17
4/1/2025;44;37;18