Rok;Okoliczność;Liczba utonięć
2013;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;128
2013;Kąpiel w miejscu zabronionym;67
2013;Nieostrożność w czasie łowienia ryb;37
2013;Nieostrożność w czasie przebywania nad wodą;55
2014;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;104
2014;Kąpiel w miejscu zabronionym;36
2014;Nieostrożność w czasie łowienia ryb;41
2014;Nieostrożność w czasie przebywania nad wodą;56
2015;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;100
2015;Kąpiel w miejscu zabronionym;54
2015;Nieostrożność w czasie łowienia ryb;41
2015;Nieostrożność w czasie przebywania nad wodą;44
2016;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;68
2016;Kąpiel w miejscu zabronionym;32
2016;Nieostrożność w czasie łowienia ryb;27
2016;Nieostrożność w czasie przebywania nad wodą;38
2017;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;55
2017;Kąpiel w miejscu zabronionym;28
2017;Nieostrożność w czasie łowienia ryb;36
2017;Nieostrożność w czasie przebywania nad wodą;34
2018;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;80
2018;Kąpiel w miejscu zabronionym;64
2018;Nieostrożność w czasie łowienia ryb;29
2018;Nieostrożność w czasie przebywania nad wodą;44
2019;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;72
2019;Kąpiel w miejscu zabronionym;32
2019;Nieostrożność w czasie łowienia ryb;34
2019;Nieostrożność w czasie przebywania nad wodą;37
2020;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;61
2020;Kąpiel w miejscu zabronionym;28
2020;Nieostrożność w czasie łowienia ryb;30
2020;Nieostrożność w czasie przebywania nad wodą;34
2021;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;61
2021;Kąpiel w miejscu zabronionym;28
2021;Nieostrożność w czasie łowienia ryb;30
2021;Nieostrożność w czasie przebywania nad wodą;34
2022;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;67
2022;Kąpiel w miejscu zabronionym;29
2022;Nieostrożność nad wodą;37
2022;Nieostrożność w czasie łowienia ryb;37
2023;Kąpiel w miejscu niestrzeżonym lecz nie zabronionym;54
2023;Kąpiel w miejscu zabronionym;33
2023;Nieostrożność nad wodą;28
2023;Nieostrożność w czasie łowienia ryb;21