"Kod";"Nazwa";"ogółem;ogółem;1995;[osoba]";"ogółem;ogółem;1996;[osoba]";"ogółem;ogółem;1997;[osoba]";"ogółem;ogółem;1998;[osoba]";"ogółem;ogółem;1999;[osoba]";"ogółem;ogółem;2000;[osoba]";"ogółem;ogółem;2001;[osoba]";"ogółem;ogółem;2002;[osoba]";"ogółem;ogółem;2003;[osoba]";"ogółem;ogółem;2004;[osoba]";"ogółem;ogółem;2005;[osoba]";"ogółem;ogółem;2006;[osoba]";"ogółem;ogółem;2007;[osoba]";"ogółem;ogółem;2008;[osoba]";"ogółem;ogółem;2009;[osoba]";"ogółem;ogółem;2010;[osoba]";"ogółem;ogółem;2011;[osoba]";"ogółem;ogółem;2012;[osoba]";"ogółem;ogółem;2013;[osoba]";"ogółem;ogółem;2014;[osoba]";"ogółem;ogółem;2015;[osoba]";"ogółem;ogółem;2016;[osoba]";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"ogółem;ogółem;2020;[osoba]";"ogółem;ogółem;2021;[osoba]";"ogółem;ogółem;2022;[osoba]";"ogółem;ogółem;2023;[osoba]";"w wieku poprodukcyjnym;ogółem;1995;[osoba]";"w wieku poprodukcyjnym;ogółem;1996;[osoba]";"w wieku poprodukcyjnym;ogółem;1997;[osoba]";"w wieku poprodukcyjnym;ogółem;1998;[osoba]";"w wieku poprodukcyjnym;ogółem;1999;[osoba]";"w wieku poprodukcyjnym;ogółem;2000;[osoba]";"w wieku poprodukcyjnym;ogółem;2001;[osoba]";"w wieku poprodukcyjnym;ogółem;2002;[osoba]";"w wieku poprodukcyjnym;ogółem;2003;[osoba]";"w wieku poprodukcyjnym;ogółem;2004;[osoba]";"w wieku poprodukcyjnym;ogółem;2005;[osoba]";"w wieku poprodukcyjnym;ogółem;2006;[osoba]";"w wieku poprodukcyjnym;ogółem;2007;[osoba]";"w wieku poprodukcyjnym;ogółem;2008;[osoba]";"w wieku poprodukcyjnym;ogółem;2009;[osoba]";"w wieku poprodukcyjnym;ogółem;2010;[osoba]";"w wieku poprodukcyjnym;ogółem;2011;[osoba]";"w wieku poprodukcyjnym;ogółem;2012;[osoba]";"w wieku poprodukcyjnym;ogółem;2013;[osoba]";"w wieku poprodukcyjnym;ogółem;2014;[osoba]";"w wieku poprodukcyjnym;ogółem;2015;[osoba]";"w wieku poprodukcyjnym;ogółem;2016;[osoba]";"w wieku poprodukcyjnym;ogółem;2017;[osoba]";"w wieku poprodukcyjnym;ogółem;2018;[osoba]";"w wieku poprodukcyjnym;ogółem;2019;[osoba]";"w wieku poprodukcyjnym;ogółem;2020;[osoba]";"w wieku poprodukcyjnym;ogółem;2021;[osoba]";"w wieku poprodukcyjnym;ogółem;2022;[osoba]";"w wieku poprodukcyjnym;ogółem;2023;[osoba]";
0200000;"DOLNOŚLĄSKIE";2988278;2986884;2985381;2982128;2917139;2912195;2909622;2904694;2898313;2893055;2888232;2882317;2878410;2877059;2876627;2917242;2916577;2914362;2909997;2908457;2904207;2903710;2902547;2901225;2900163;2908378;2897737;2888033;2879271;409205;417391;425373;431794;431903;436847;441168;443446;444571;445796;447076;452935;460342;469431;479106;493692;511768;531559;552151;573280;594162;615787;635887;654395;670911;675113;681426;689227;699310;
0400000;"KUJAWSKO-POMORSKIE";2092977;2095819;2098018;2100106;2068864;2067817;2069747;2069166;2068142;2068258;2068253;2066371;2066136;2067918;2069083;2098711;2098370;2096404;2092564;2089992;2086210;2083927;2082944;2077775;2072373;2031550;2017720;2006876;1996003;271091;274331;277711;281343;283006;285792;288822;291644;293867;295820;297210;303819;310095;317276;324259;335027;347319;359080;371462;384860;398294;411659;424813;436540;447764;452391;456597;463731;471870;
0600000;"LUBELSKIE";2244628;2244212;2241952;2239500;2209083;2206200;2201720;2196992;2191172;2185156;2179611;2172766;2166213;2161832;2157202;2178611;2171857;2165651;2156150;2147746;2139726;2133340;2126317;2117619;2108270;2056908;2038299;2024637;2011047;345890;348890;350947;352423;351863;354234;356245;356684;357324;358306;360090;363171;365971;369955;374212;381963;389457;398595;408423;418522;428992;440087;451040;461353;471185;475006;476852;483207;490590;
0800000;"LUBUSKIE";1014591;1017596;1020345;1022521;1007967;1008472;1008983;1008196;1008786;1009168;1009198;1008520;1008481;1008962;1010047;1023215;1023158;1023317;1021470;1020307;1018075;1017376;1016832;1014548;1011592;993329;985487;979976;975023;122893;125332;127705;129540;129998;131747;133398;134551;135237;135995;136588;139138;142291;145894;149708;154732;161132;168327;175675;183290;190913;198595;205970;212629;218618;221251;223763;227655;231843;
1000000;"ŁÓDZKIE";2687761;2680350;2672823;2663608;2637438;2627824;2617318;2607380;2597094;2587702;2577465;2566198;2555898;2548861;2541832;2542436;2533681;2524651;2513093;2504136;2493603;2485323;2476315;2466322;2454779;2415816;2394946;2378483;2362519;441062;443275;444823;445435;444532;444743;445425;445382;444601;444335;444605;452092;458032;464735;470282;477205;491488;504622;518019;531150;544490;558811;572059;584204;595436;598674;600636;605065;611010;
1200000;"MAŁOPOLSKIE";3190186;3197064;3206630;3215885;3217865;3229139;3236268;3237217;3252949;3260201;3266187;3271206;3279036;3287136;3298270;3336699;3346796;3354077;3360581;3368336;3372618;3382260;3391380;3400577;3410901;3432692;3430370;3429014;3429632;441190;449438;456822;464377;471838;479247;484343;487813;493675;500220;505994;513057;520449;529122;538977;550623;564683;579369;595406;611620;627987;645862;662946;680178;696089;702402;709776;720908;734198;
1400000;"MAZOWIECKIE";5060091;5061049;5064950;5066598;5112652;5115010;5121681;5128623;5135732;5145997;5157729;5171702;5188488;5204495;5222167;5267072;5285604;5301760;5316840;5334511;5349114;5365898;5384617;5403412;5423168;5517616;5512794;5510612;5510527;795703;806826;816107;824708;834206;841139;847202;852049;855080;860825;866385;877736;890240;904435;917882;932694;957638;984116;1012826;1041759;1072014;1102848;1131446;1157967;1183145;1187191;1192529;1205131;1220134;
1600000;"OPOLSKIE";1093172;1092524;1091077;1089586;1074205;1070598;1066438;1061009;1055667;1051531;1047407;1041941;1037088;1033040;1031097;1017241;1013950;1010203;1004416;1000858;996011;993036;990069;986506;982626;955844;948583;942441;936725;136942;141085;145411;149277;151308;154978;158212;160038;161564;163706;164907;167365;169658;172399;175758;176047;180275;185007;190130;195877;201067;207064;212218;217511;223087;220016;222531;225654;229622;
1800000;"PODKARPACKIE";2105597;2112560;2117341;2122164;2098771;2101375;2104138;2105050;2097248;2097975;2098263;2097564;2097338;2099495;2101732;2127948;2128687;2129951;2129294;2129187;2127657;2127656;2129138;2129015;2127164;2096166;2085932;2079098;2071676;279952;283998;288495;292938;296293;300933;303991;305845;306227;309159;312197;316241;320234;325045;330688;338054;346354;356022;366138;376998;387611;399113;410867;422261;433683;438910;443510;451679;461443;
2000000;"PODLASKIE";1221877;1223133;1223944;1223802;1212269;1210688;1209439;1207704;1205117;1202425;1199689;1196101;1192660;1191470;1189731;1203448;1200982;1198690;1194965;1191918;1188800;1186625;1184548;1181533;1178353;1156591;1148720;1143355;1138216;183697;186240;188465;190461;192005;193754;195546;197024;198136;198953;199540;200832;202583;204991;206921;209537;212932;216967;221341;225901;231046;236285;241836;247213;253407;255220;257025;261668;267366;
2200000;"POMORSKIE";2165684;2172540;2179104;2185673;2166230;2172284;2178337;2183636;2188918;2194041;2199043;2203595;2210920;2219512;2230099;2275494;2283500;2290070;2295811;2302077;2307710;2315611;2324251;2333523;2343928;2358256;2358726;2358307;2359573;257376;263425;269261;274523;279285;284726;290083;294478;298655;302447;305124;312099;320122;329056;337695;349326;362619;376690;391891;407785;423704;439110;454077;467637;480805;486728;493109;500467;509867;
2400000;"ŚLĄSKIE";4907930;4902913;4894230;4882448;4776856;4758944;4741816;4731533;4714982;4700771;4685775;4669137;4654115;4645665;4640725;4634935;4626357;4615870;4599447;4585924;4570849;4559164;4548180;4533565;4517635;4412097;4375947;4346702;4320130;616634;630247;643242;656478;659962;674295;688298;702530;714279;727116;737492;752077;766829;783152;800129;813839;837535;863066;888558;916673;944668;973450;1000566;1026413;1050805;1041155;1046918;1059073;1073993;
2600000;"ŚWIĘTOKRZYSKIE";1331481;1330460;1327859;1326218;1302518;1302650;1299382;1295885;1291598;1288693;1285007;1279838;1275550;1272784;1270120;1282546;1278116;1273995;1268239;1263176;1257179;1252900;1247732;1241546;1233961;1199584;1187693;1178164;1168499;207561;209816;211407;212941;213889;216007;216767;216661;216529;217651;218312;219893;222147;224784;227824;232533;238386;244774;251104;257771;264605;271847;278681;285425;291925;294607;296463;300292;304576;
2800000;"WARMIŃSKO-MAZURSKIE";1452423;1456724;1460432;1463520;1424772;1427508;1428469;1428449;1428885;1428714;1428601;1426883;1426155;1427073;1427118;1453782;1452596;1450697;1446915;1443967;1439675;1436367;1433945;1428983;1422737;1385622;1374699;1366430;1357910;165932;170295;174296;177793;179031;182130;184859;187096;188677;190081;191273;193837;197684;201848;206036;212996;220198;228147;236339;245690;255335;265024;274250;282911;291800;297198;301437;307537;314557;
3000000;"WIELKOPOLSKIE";3331941;3339757;3346045;3351422;3339749;3345316;3350437;3355279;3359932;3365283;3372417;3378502;3386882;3397617;3408281;3446745;3455477;3462196;3467016;3472579;3475323;3481625;3489210;3493969;3498733;3507042;3500030;3493577;3487973;436500;440422;444467;447874;449837;452818;455354;457810;459826;461532;464450;477431;488627;500048;511447;526754;549231;569873;591254;613247;634036;655726;677524;696427;715145;726188;734902;747079;760915;
3200000;"ZACHODNIOPOMORSKIE";1720782;1725756;1729848;1731804;1696925;1697935;1698402;1697718;1696073;1694865;1694178;1692838;1692271;1692957;1693198;1723741;1722739;1721405;1718861;1715431;1710482;1708174;1705533;1701030;1696193;1661073;1650021;1640622;1631784;205551;210829;215936;220103;223206;226657;229832;231988;233775;235239;236979;241519;247153;253561;260691;270604;282354;294759;307434;321021;334352;348232;361083;372836;384138;387670;392189;397824;404873;
