wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	3	Three	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	None	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	1	None	43.0	143.0	Ainu	Ainu	Nominal Categories
agw	Alagwa	2	Two	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Nominal Categories
ala	Alamblak	2	Two	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
ale	Aleut	1	None	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	None	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Two	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
apu	Apurinã	2	Two	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	1	None	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	2	Two	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Two	26.0	49.0	Semitic	Afro-Asiatic	Nominal Categories
asy	Arabic (Syrian)	2	Two	34.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
arp	Arapesh (Mountain)	5	Five or more	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
abo	Arbore	2	Two	5.0	36.75	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
arc	Archi	4	Four	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
arm	Armenian (Eastern)	1	None	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	None	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
awp	Awa Pit	1	None	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
bab	Babungo	5	Five or more	6.11666666667	10.4166666667	Wide Grassfields	Niger-Congo	Nominal Categories
bag	Bagirmi	1	None	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
brs	Barasano	3	Three	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	1	None	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	1	None	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	1	None	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bys	Bayso	2	Two	6.25	37.75	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
bej	Beja	2	Two	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bma	Berber (Middle Atlas)	2	Two	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
bbw	Bininj Gun-Wok	4	Four	-12.5	133.75	Marne	Gunwinyguan	Nominal Categories
brh	Brahui	1	None	28.5	67.0	Dravidian	Dravidian	Nominal Categories
brm	Burmese	1	None	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	4	Four	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cah	Cahuilla	1	None	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cax	Campa (Axininca)	2	Two	-12.0	-74.0	Pre-Andine Arawakan	Arawakan	Nominal Categories
cnl	Canela	1	None	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
cnt	Cantonese	1	None	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
car	Carib	1	None	5.5	-56.0	Cariban	Cariban	Nominal Categories
cyv	Cayuvava	1	None	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	None	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cic	Chichewa	5	Five or more	-14.0	34.0	Bantu	Niger-Congo	Nominal Categories
chi	Chimariko	1	None	41.0	-123.0	Chimariko	Hokan	Nominal Categories
cle	Chinantec (Lealao)	2	Two	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
chk	Chukchi	1	None	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	1	None	55.5	47.5	Turkic	Altaic	Nominal Categories
ccp	Cocopa	1	None	32.3333333333	-115.0	Yuman	Hokan	Nominal Categories
cmn	Comanche	1	None	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	1	None	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	2	Two	54.0	-110.0	Algonquian	Algic	Nominal Categories
dag	Daga	1	None	-10.0	149.333333333	Dagan	Trans-New Guinea	Nominal Categories
dni	Dani (Lower Grand Valley)	1	None	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
def	Defaka	3	Three	4.58333333333	7.5	Ijoid	Ijoid	Nominal Categories
dio	Diola-Fogny	5	Five or more	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
diy	Diyari	2	Two	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
diz	Dizi	2	Two	6.16666666667	36.5	Dizoid	Afro-Asiatic	Nominal Categories
djr	Djaru	1	None	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
don	Dong (Southern)	1	None	27.0	109.0	Kam-Tai	Tai-Kadai	Nominal Categories
dyi	Dyirbal	4	Four	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
eng	English	3	Three	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	1	None	3.0	-77.0	Choco	Choco	Nominal Categories
err	Erromangan	1	None	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Categories
eve	Evenki	1	None	56.0	125.0	Tungusic	Altaic	Nominal Categories
ewe	Ewe	1	None	6.33333333333	0.416666666667	Gbe	Niger-Congo	Nominal Categories
fij	Fijian	1	None	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Categories
fin	Finnish	1	None	62.0	25.0	Finnic	Uralic	Nominal Categories
fre	French	2	Two	48.0	2.0	Romance	Indo-European	Nominal Categories
fgu	Fula (Guinean)	5	Five or more	11.5	-12.5	Peul-Serer	Niger-Congo	Nominal Categories
gae	Gaelic (Scots)	2	Two	57.0	-4.0	Celtic	Indo-European	Nominal Categories
geo	Georgian	1	None	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
ger	German	3	Three	52.0	10.0	Germanic	Indo-European	Nominal Categories
gdi	Godié	4	Four	5.41666666667	-5.83333333333	Kru	Niger-Congo	Nominal Categories
god	Godoberi	3	Three	42.6666666667	46.0833333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
goo	Gooniyandi	1	None	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
grb	Grebo	3	Three	5.0	-8.0	Kru	Niger-Congo	Nominal Categories
grk	Greek (Modern)	3	Three	39.0	22.0	Greek	Indo-European	Nominal Categories
grw	Greenlandic (West)	1	None	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Categories
gua	Guaraní	1	None	-26.0	-56.0	Maweti-Guarani	Tupian	Nominal Categories
guu	Guugu Yimidhirr	1	None	-15.0	144.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
hai	Haida	1	None	53.0	-132.0	Haida	Haida	Nominal Categories
hat	Hatam	1	None	-1.0	134.0	Hatim-Mansim	Hatim-Mansim	Nominal Categories
hau	Hausa	2	Two	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	1	None	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Categories
hay	Hayu	1	None	27.25	86.0	Himalayish	Sino-Tibetan	Nominal Categories
heb	Hebrew (Modern)	2	Two	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	2	Two	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	2	Two	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	1	None	28.0	105.0	Hmongic	Hmong-Mien	Nominal Categories
hun	Hungarian	1	None	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	5	Five or more	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
iaa	Iaai	1	None	-20.4166666667	166.583333333	Oceanic	Austronesian	Nominal Categories
ice	Icelandic	3	Three	65.0	-17.0	Germanic	Indo-European	Nominal Categories
igb	Igbo	1	None	6.0	7.33333333333	Igboid	Niger-Congo	Nominal Categories
ika	Ika	1	None	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
imo	Imonda	1	None	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ind	Indonesian	1	None	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ing	Ingush	5	Five or more	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	2	Two	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
ite	Itelmen	1	None	57.0	157.5	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
jaq	Jaqaru	1	None	-13.0	-76.0	Aymaran	Aymaran	Nominal Categories
juh	Ju|'hoan	5	Five or more	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kam	Kambera	1	None	-9.83333333333	120.166666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
knd	Kannada	3	Three	14.0	76.0	Dravidian	Dravidian	Nominal Categories
knr	Kanuri	1	None	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krk	Karok	1	None	41.6666666667	-123.0	Karok	Hokan	Nominal Categories
kas	Kashmiri	2	Two	34.0	76.0	Indic	Indo-European	Nominal Categories
kay	Kayardild	1	None	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
ket	Ket	3	Three	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kew	Kewa	1	None	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
khk	Khakas	1	None	53.0	90.0	Turkic	Altaic	Nominal Categories
khl	Khalaj	1	None	35.0	50.0	Turkic	Altaic	Nominal Categories
kha	Khalkha	1	None	47.0	105.0	Mongolic	Altaic	Nominal Categories
khs	Khasi	2	Two	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
khm	Khmer	1	None	12.5	105.0	Khmer	Austro-Asiatic	Nominal Categories
kmu	Khmu'	2	Two	21.0	102.0	Khmuic	Austro-Asiatic	Nominal Categories
klv	Kilivila	1	None	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
kgz	Kirghiz	1	None	42.0	75.0	Turkic	Altaic	Nominal Categories
kis	Kisi	5	Five or more	8.83333333333	-10.1666666667	Southern Mel	Niger-Congo	Nominal Categories
koa	Koasati	1	None	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Categories
kob	Kobon	1	None	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Nominal Categories
kol	Kolami	2	Two	20.0	78.5	Dravidian	Dravidian	Nominal Categories
kon	Kongo	5	Five or more	-5.0	15.0	Bantu	Niger-Congo	Nominal Categories
kfe	Koromfe	3	Three	14.25	-0.916666666667	Koromfe	Niger-Congo	Nominal Categories
kse	Koyraboro Senni	1	None	16.0	0.0	Songhay	Songhay	Nominal Categories
kut	Kutenai	1	None	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
lad	Ladakhi	1	None	34.0	78.0	Bodic	Sino-Tibetan	Nominal Categories
lah	Lahu	1	None	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lak	Lak	4	Four	42.1666666667	47.1666666667	Lak	Nakh-Daghestanian	Nominal Categories
lan	Lango	1	None	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Nominal Categories
lat	Latvian	2	Two	57.0	24.0	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	3	Three	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Categories
lel	Lele	2	Two	9.08333333333	15.5833333333	East Chadic	Afro-Asiatic	Nominal Categories
lep	Lepcha	1	None	27.1666666667	88.5	Himalayish	Sino-Tibetan	Nominal Categories
lez	Lezgian	1	None	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
lin	Lingala	5	Five or more	2.0	18.5	Bantu	Niger-Congo	Nominal Categories
luv	Luvale	5	Five or more	-12.0	22.0	Bantu	Niger-Congo	Nominal Categories
mac	Macushi	2	Two	4.0	-60.0	Cariban	Cariban	Nominal Categories
mak	Makah	1	None	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Nominal Categories
mal	Malagasy	1	None	-20.0	47.0	Barito	Austronesian	Nominal Categories
mlt	Maltese	2	Two	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Nominal Categories
mnd	Mandarin	1	None	34.0	110.0	Chinese	Sino-Tibetan	Nominal Categories
myi	Mangarrayi	3	Three	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Categories
mns	Mansi	1	None	62.0	62.0	Ugric	Uralic	Nominal Categories
mao	Maori	1	None	-40.0	176.0	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	1	None	-38.0	-72.0	Araucanian	Araucanian	Nominal Categories
mhi	Marathi	3	Three	19.0	76.0	Indic	Indo-European	Nominal Categories
mny	Margany	1	None	-27.0	144.5	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
mar	Maricopa	1	None	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Categories
mrd	Marind	4	Four	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Nominal Categories
mrt	Martuthunira	1	None	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
mau	Maung	5	Five or more	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Categories
may	Maybrat	2	Two	-1.33333333333	132.5	Maybrat	Maybrat	Nominal Categories
mei	Meithei	1	None	24.75	94.0	Manipuri	Sino-Tibetan	Nominal Categories
mss	Miwok (Southern Sierra)	1	None	37.5	-120.0	Miwok	Penutian	Nominal Categories
mxc	Mixtec (Chalcatongo)	5	Five or more	17.05	-97.5833333333	Mixtec	Oto-Manguean	Nominal Categories
miy	Miya	2	Two	10.9166666667	9.66666666667	West Chadic	Afro-Asiatic	Nominal Categories
mok	Mokilese	1	None	6.66666666667	159.75	Oceanic	Austronesian	Nominal Categories
mos	Mosetén	2	Two	-14.75	-67.8333333333	Mosetenan	Mosetenan	Nominal Categories
mun	Mundari	2	Two	23.0	84.6666666667	Munda	Austro-Asiatic	Nominal Categories
mrl	Murle	1	None	6.5	33.5	South Surmic	Eastern Sudanic	Nominal Categories
nht	Nahuatl (Tetelcingo)	1	None	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Nominal Categories
kho	Nama	3	Three	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
ndy	Ndyuka	1	None	4.5	-54.5	Creoles and Pidgins	other	Nominal Categories
ntu	Nenets	1	None	70.0	76.0	Samoyedic	Uralic	Nominal Categories
nez	Nez Perce	1	None	46.0	-116.0	Sahaptian	Penutian	Nominal Categories
ngg	Ngan'gityemerri	5	Five or more	-14.25	130.416666667	Ngankikurungkurr	Southern Daly	Nominal Categories
ngi	Ngiyambaa	1	None	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
nca	Nicobarese (Car)	3	Three	9.0	93.0	Nicobarese	Austro-Asiatic	Nominal Categories
niv	Nivkh	1	None	53.3333333333	142.0	Nivkh	Nivkh	Nominal Categories
nko	Nkore-Kiga	5	Five or more	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Nominal Categories
nbd	Nubian (Dongolese)	1	None	18.25	30.75	Nubian	Eastern Sudanic	Nominal Categories
nug	Nunggubuyu	5	Five or more	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Nominal Categories
nym	Nyamwezi	5	Five or more	-5.0	33.0	Bantu	Niger-Congo	Nominal Categories
nyh	Nyiha	5	Five or more	-10.0	33.0	Bantu	Niger-Congo	Nominal Categories
oji	Ojibwa (Eastern)	2	Two	46.0	-80.0	Algonquian	Algic	Nominal Categories
ond	Oneida	3	Three	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Nominal Categories
ork	Orok	1	None	49.5	143.5	Tungusic	Altaic	Nominal Categories
orh	Oromo (Harar)	2	Two	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
otm	Otomí (Mezquital)	1	None	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Nominal Categories
pai	Paiwan	1	None	22.5	120.833333333	Paiwan	Austronesian	Nominal Categories
pal	Palauan	1	None	7.5	134.583333333	Palauan	Austronesian	Nominal Categories
pan	Panjabi	2	Two	31.0	74.0	Indic	Indo-European	Nominal Categories
psh	Pashto	2	Two	33.0	67.0	Iranian	Indo-European	Nominal Categories
psm	Passamaquoddy-Maliseet	2	Two	45.0	-67.0	Algonquian	Algic	Nominal Categories
pau	Paumarí	4	Four	-6.0	-64.0	Arauan	Arauan	Nominal Categories
prs	Persian	1	None	32.0	54.0	Iranian	Indo-European	Nominal Categories
pil	Pileni	1	None	-10.2166666667	166.216666667	Oceanic	Austronesian	Nominal Categories
pip	Pipil	1	None	13.8333333333	-89.5833333333	Aztecan	Uto-Aztecan	Nominal Categories
prh	Pirahã	4	Four	-7.0	-62.0	Mura	Mura	Nominal Categories
pit	Pitjantjatjara	1	None	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
ppi	Pitta Pitta	2	Two	-22.8333333333	140.0	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
pmc	Pomo (Central)	1	None	39.0	-123.333333333	Pomoan	Hokan	Nominal Categories
qaf	Qafar	2	Two	12.0	42.0	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
qim	Quechua (Imbabura)	1	None	0.333333333333	-78.0	Quechuan	Quechuan	Nominal Categories
ram	Rama	1	None	11.75	-83.75	Rama	Chibchan	Nominal Categories
rap	Rapanui	1	None	-27.1166666667	-109.366666667	Oceanic	Austronesian	Nominal Categories
ren	Rendille	2	Two	2.0	37.5	Lowland East Cushitic	Afro-Asiatic	Nominal Categories
ret	Retuarã	3	Three	-0.5	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
rus	Russian	3	Three	56.0	38.0	Slavic	Indo-European	Nominal Categories
smt	Sahaptin (Umatilla)	1	None	45.6666666667	-118.5	Sahaptian	Penutian	Nominal Categories
san	Sango	1	None	5.0	18.0	Ubangi	Niger-Congo	Nominal Categories
saw	Sawu	1	None	-11.5	121.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
sml	Semelai	1	None	3.0	103.0	Aslian	Austro-Asiatic	Nominal Categories
snc	Seneca	3	Three	42.5	-77.5	Northern Iroquoian	Iroquoian	Nominal Categories
snt	Sentani	1	None	-2.58333333333	140.583333333	Sentanic	Sentanic	Nominal Categories
shk	Shipibo-Konibo	1	None	-7.5	-75.0	Panoan	Pano-Tacanan	Nominal Categories
shn	Shona	5	Five or more	-18.0	31.0	Bantu	Niger-Congo	Nominal Categories
srn	Sirionó	1	None	-15.5833333333	-64.0	Maweti-Guarani	Tupian	Nominal Categories
spa	Spanish	2	Two	40.0	-4.0	Romance	Indo-European	Nominal Categories
sue	Suena	1	None	-7.75	147.55	Binanderean	Trans-New Guinea	Nominal Categories
sup	Supyire	5	Five or more	11.5	-5.58333333333	Senufo	Niger-Congo	Nominal Categories
swa	Swahili	5	Five or more	-6.5	39.0	Bantu	Niger-Congo	Nominal Categories
tab	Taba	1	None	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
tag	Tagalog	2	Two	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Categories
tap	Taiap	2	Two	-4.08333333333	144.5	Taiap	Taiap	Nominal Categories
tml	Tamil	3	Three	11.0	78.5	Dravidian	Dravidian	Nominal Categories
tha	Thai	1	None	16.0	101.0	Kam-Tai	Tai-Kadai	Nominal Categories
tho	Thompson	1	None	49.75	-121.75	Interior Salish	Salishan	Nominal Categories
tib	Tibetan (Standard Spoken)	1	None	30.0	91.0	Bodic	Sino-Tibetan	Nominal Categories
tid	Tidore	3	Three	0.75	127.5	North Halmaheran	North Halmaheran	Nominal Categories
tgr	Tigré	2	Two	16.5	38.5	Semitic	Afro-Asiatic	Nominal Categories
tiw	Tiwi	2	Two	-11.5	131.0	Tiwian	Tiwian	Nominal Categories
tol	Tol	1	None	14.6666666667	-87.0	Tol	Tol	Nominal Categories
tot	Totonac (Misantla)	1	None	19.9166666667	-96.9166666667	Totonacan	Totonacan	Nominal Categories
tsz	Tsez	4	Four	42.25	45.75	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
tsi	Tsimshian (Coast)	1	None	52.5	-129.0	Tsimshianic	Tsimshianic	Nominal Categories
tuk	Tukang Besi	1	None	-5.5	123.5	Celebic	Austronesian	Nominal Categories
tun	Tunica	2	Two	32.6666666667	-91.0	Tunica	Tunica	Nominal Categories
tur	Turkish	1	None	39.0	35.0	Turkic	Altaic	Nominal Categories
tvl	Tuvaluan	1	None	-8.5	179.166666667	Oceanic	Austronesian	Nominal Categories
tsh	Tümpisa Shoshone	1	None	37.0	-117.0	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
ukr	Ukrainian	3	Three	49.0	33.0	Slavic	Indo-European	Nominal Categories
una	Una	1	None	-4.66666666667	140.0	Mek	Trans-New Guinea	Nominal Categories
uhi	Uradhi	1	None	-11.9166666667	142.416666667	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
urk	Urubú-Kaapor	1	None	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Nominal Categories
usa	Usan	1	None	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Nominal Categories
uzb	Uzbek	1	None	39.0	66.0	Turkic	Altaic	Nominal Categories
vie	Vietnamese	1	None	10.5	106.5	Vietic	Austro-Asiatic	Nominal Categories
wam	Wambaya	4	Four	-18.6666666667	135.75	Wambayan	Mirndi	Nominal Categories
wra	Warao	1	None	9.33333333333	-61.6666666667	Warao	Warao	Nominal Categories
wrd	Wardaman	3	Three	-15.5	131.0	Yangmanic	Yangmanic	Nominal Categories
war	Wari'	3	Three	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
wat	Watjarri	1	None	-26.0	117.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
wic	Wichita	1	None	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Nominal Categories
ykt	Yakut	1	None	62.0	130.0	Turkic	Altaic	Nominal Categories
yaq	Yaqui	1	None	27.5	-110.25	Cahita	Uto-Aztecan	Nominal Categories
yaz	Yazgulyam	2	Two	38.5	71.5	Iranian	Indo-European	Nominal Categories
yel	Yelî Dnye	1	None	-11.3666666667	154.166666667	Yele	Yele	Nominal Categories
yid	Yidiny	1	None	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
yim	Yimas	5	Five or more	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Nominal Categories
yor	Yoruba	1	None	8.0	4.33333333333	Defoid	Niger-Congo	Nominal Categories
yko	Yukaghir (Kolyma)	1	None	65.75	150.833333333	Yukaghir	Yukaghir	Nominal Categories
ylb	Yulparija	1	None	-21.0	124.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
ypk	Yup'ik (Central)	1	None	59.5	-160.0	Eskimo	Eskimo-Aleut	Nominal Categories
yur	Yurok	1	None	41.3333333333	-124.0	Yurok	Algic	Nominal Categories
zan	Zande	4	Four	4.0	26.0	Ubangi	Niger-Congo	Nominal Categories
zqc	Zoque (Copainalá)	1	None	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Nominal Categories
zul	Zulu	5	Five or more	-30.0	30.0	Bantu	Niger-Congo	Nominal Categories
zun	Zuni	1	None	35.0833333333	-108.833333333	Zuni	Zuni	Nominal Categories